post_id,timestamp,text,LIKE,HAHA,SAD,LOVE,ANGRY,WOW,PRIDE
5281959998_10151224780444999,2017-07-08T13:25:00+0000,The%20week%27s%20best%20music%2C%20including%20Kesha%27s%20first%20single%20since%202013.,124,2,0,8,0,0,0
5281959998_10151225626869999,2017-07-08T19:55:01+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20Job%20applicants%20probably%20swipe%20on%20Tinder%20with%20the%20same%20abandon%20as%20they%20responded%20to%20his%20career%20listing.,42,2,0,9,0,2,0
5281959998_10151224596389999,2017-07-08T13:55:00+0000,A%20perfect%20salad%20for%20a%20summer%20dinner.,221,1,0,14,0,2,0
5281959998_10151225569074999,2017-07-08T17:55:00+0000,Mitch%20McConnell%20is%20going%20to%20need%20all%20the%20creativity%20he%20can%20muster%20to%20get%20the%20Republican%20health%20care%20bill%20passed.,129,32,3,9,86,7,0
5281959998_10151224303784999,2017-07-07T06:25:00+0000,The%20region%20is%20twice%20the%20size%20of%20Belgium%2C%20and%20is%20home%20to%20the%20endangered%20Tibetan%20antelope.%20Poachers%20had%20nearly%20wiped%20out%20the%20species%20for%20its%20coveted%20fur.,141,0,25,10,5,4,0
5281959998_10151224613519999,2017-07-07T16:25:00+0000,For%20the%20cities%20that%20fill%20the%20grimmest%20of%20roll%20calls%2C%20there%20are%20questions%20on%20how%20to%20handle%20tragedy%3A%20What%20do%20you%20do%20with%20truckloads%20of%20teddy%20bears%3F%20How%20soon%20is%20too%20soon%20to%20dismantle%20memorials%3F,94,0,10,4,0,5,0
5281959998_10151223441214999,2017-07-08T08:25:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20More%20than%206%20months%20later%2C%20no%20one%20knows%20who%20targeted%20the%20families%2C%20or%20why.,91,1,1,0,18,3,0
5281959998_10151220753664999,2017-07-08T05:55:00+0000,The%20Bay%20Area%20tech%20scene%20has%20start-up%20incubators%20and%20hacker%20spaces.%20But%20what%20do%20you%20do%20when%20you%20want%20to%20figure%20out%20your%20next%20move%3F,107,0,0,2,0,3,0
5281959998_10151224423334999,2017-07-07T10:55:01+0000,Donald%20J.%20Trump%27s%20life%20and%20career%20have%20been%20defined%20by%20his%20legal%20battles.%20But%20what%20will%20they%20mean%20for%20his%20presidency%3F,98,22,2,2,22,3,0
5281959998_10151224314214999,2017-07-07T06:55:01+0000,Coming%20up%3A%20the%20new%20%22Transformers%22%20movie.%20But%20first%2C%20a%20special%20message%20from%20%u6210%u9F8D%20Jackie%20Chan%20on%20realizing%20%22the%20Chinese%20dream.%22,133,32,2,5,14,2,0
5281959998_10151225545059999,2017-07-08T16:55:00+0000,The%20New%20York%20Times%20Opinion%20Section%20found%20a%20few%20promising%20ideas.,85,24,0,3,7,3,0
5281959998_10151224881474999,2017-07-08T08:55:00+0000,He%20thought%20he%20had%20found%20a%20great%20deal%20on%20a%20home.%20Instead%2C%20he%20was%20left%20with%20a%20grandson%20with%20lead%20poisoning%20and%20about%20%2410%2C000%20in%20repairs.,54,0,45,0,19,3,0
5281959998_1886763904874456,2017-07-08T19:10:00+0000,%u201CIt%u2019s%20a%20huge%20moment%20for%20me%u201D%3A%20After%208%20years%20in%20the%20U.S.%2C%20Zachee%20Pouga%20Tinhaga%20is%20becoming%20an%20American%20citizen.%20%23Daily360,217,0,0,38,0,2,0
5281959998_10151225537634999,2017-07-08T15:25:00+0000,ISIS%20is%20crumbling%2C%20but%20the%20terrorist%20group%20is%20in%20no%20way%20homeless%20yet.,159,2,18,3,37,5,0
5281959998_10151224940979999,2017-07-08T12:55:00+0000,At%20the%20end%20of%20World%20War%20II%2C%20her%20grandfather%2C%20a%20U.S.%20soldier%2C%20stole%20a%20Nazi%20flag%20from%20one%20of%20Hitler%27s%20houses.%2070%20years%20later%2C%20getting%20rid%20of%20it%20was%20a%20challenge.,266,2,1,13,0,24,0
5281959998_10151224279049999,2017-07-07T05:25:00+0000,The%20viral%20content%20aggregator%20Distractify%20has%20accused%20a%20rival%20website%20of%20repackaging%20its%20content.,144,33,1,6,0,5,0
5281959998_10151224266554999,2017-07-07T04:25:01+0000,E-commerce%20jobs%20are%20growing%20fast%20and%20tend%20to%20be%20concentrated%20in%20large%20cities.,202,0,2,9,0,1,0
5281959998_10151224552169999,2017-07-07T14:55:00+0000,We%20mapped%20the%20buildings%20that%20have%20failed%20fire%20safety%20tests%20in%20the%20U.K.%20Tens%20of%20thousands%20of%20people%20live%20in%20them.,139,0,38,3,8,52,0
5281959998_10151224632439999,2017-07-07T16:55:00+0000,An%20American%20neurologist%20has%20been%20at%20odds%20with%20British%20experts%20who%20say%20that%20Charlie%20Gard%20is%20suffering%20and%20should%20be%20allowed%20to%20die.,156,1,49,4,32,6,0
5281959998_10151224358654999,2017-07-07T08:25:00+0000,It%20was%20just%20the%20latest%20violent%20episode%20in%20Mexico%20over%20the%20past%20several%20days%20to%20end%20in%20large%20body%20counts.,116,0,58,1,6,29,0
5281959998_10151224443009999,2017-07-07T11:55:01+0000,The%20Editorial%20Board%20writes%20in%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22President%20Donald%20J.%20Trump%20now%20has%20the%20chance%20to%20appoint%20an%20accommodating%20loyalist%20who%u2019d%20give%20him%20far%20less%20trouble%20than%20Mr.%20Shaub%20has.%20Or%20he%20could%20surprise%20us.%22,292,115,8,12,7,8,0
5281959998_10151225603999999,2017-07-08T19:25:01+0000,Scientists%20may%20have%20solved%20the%20mystery%20of%20why%20some%20deep-sea%20corals%20glow.,210,0,0,15,0,24,0
5281959998_10151225672519999,2017-07-08T18:10:01+0000,President%20Donald%20J.%20Trump%20left%20his%20trip%20feeling%20that%20there%20might%20still%20be%20a%20market%20for%20his%20hard-edge%20brand%20of%20conservatism%20in%20a%20supposedly%20inhospitable%20Europe.,164,284,18,11,90,29,0
5281959998_10151224357039999,2017-07-07T08:25:01+0000,Issues%20related%20to%20sexual%20harassment%20continue%20to%20plague%2021st%20Century%20Fox.,331,149,12,9,18,65,0
5281959998_10151224306509999,2017-07-07T07:55:00+0000,President%20%u8521%u82F1%u6587%20Tsai%20Ing-wen%20of%20Taiwan%20is%20trying%20to%20tweet%20the%20island%20back%20into%20the%20global%20conversation.,362,17,0,22,0,10,0
5281959998_10151224880284999,2017-07-07T19:55:00+0000,Senators%2C%20unlike%20celebrities%2C%20actually%20are%20just%20like%20us.,216,22,0,12,4,3,0
5281959998_10151224578599999,2017-07-07T15:25:00+0000,%22If%20you%20lose%20Jerry%20Moran%2C%20you%27ve%20lost%20part%20of%20the%20mainstream%20of%20the%20party.%20If%20guys%20like%20him%20start%20unraveling%2C%20not%20just%20on%20health%20care%20but%20on%20other%20issues%2C%20McConnell%20has%20no%20chance%20of%20controlling%20that%20caucus.%22,436,25,0,16,0,8,0
5281959998_10151218015899999,2017-07-07T18:55:00+0000,%22Sony%u2019s%20latest%20Spider-Man%20movie%20is%20kind%20of%20like%20the%20first%20and%20fourth%2C%22%20our%20critic%20writes.,263,9,0,11,0,1,0
5281959998_10151224676589999,2017-07-08T07:25:00+0000,10%2C000%20gestures.%2025%20dancers.%20It%20sounds%20like%20a%20simple%20idea%2C%20but%20it%u2019s%20an%20extremely%20complicated%20one.,131,0,0,11,0,1,0
5281959998_10151224490974999,2017-07-07T21:25:00+0000,Help%20your%20dog%20ace%20the%20dreaded%20pet%20interview%20with%20the%20co-op%20board.,147,11,2,13,1,4,0
5281959998_10151225575974999,2017-07-08T15:55:00+0000,A%20Russian%20body%20language%20specialist%20said%20that%20President%20Vladimir%20Putin%20had%20the%20edge%20in%20his%20meeting%20with%20President%20Donald%20J.%20Trump.,239,87,17,4,60,10,0
5281959998_10151224153174999,2017-07-07T04:55:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20A%20Syrian%20activist%20and%20journalist%20is%20asking%20governments%20and%20Silicon%20Valley%20to%20do%20more%20in%20the%20infowar%20against%20ISIS.,486,2,2,25,0,9,0
5281959998_10151225615899999,2017-07-08T17:25:00+0000,Fire%20engine%20ladders%20reached%20only%20to%20the%2010th%20floor%20of%20the%2024-story%20building.,104,0,134,3,29,10,0
5281959998_10151223340779999,2017-07-07T00:55:00+0000,For%20years%2C%20animal-rights%20advocates%20trying%20to%20expose%20bad%20practices%20in%20the%20meat%20industry%20with%20surreptitiously%20shot%20grainy%20photographs.%20%0A%0ANow%20they%20have%20virtual%20reality.,337,0,42,39,4,5,0
5281959998_10151224205109999,2017-07-07T02:26:11+0000,Donald%20J.%20Trump%20and%20Angela%20Merkel%20had%20a%20breakthrough%20of%20sorts%20in%20a%20meeting%20in%20Germany%20on%20Thursday%20night%3A%20a%20proper%20handshake.,369,145,9,9,7,27,0
5281959998_10151223354564999,2017-07-08T12:25:00+0000,%u2018%u2018ThisisrecruitSiddiqui.IhavearrivedsafelyatParrisIsland.Pleasedonotsendanyfoodorbulkyitemstomeinthemail.Iwillcontactyouin7to9daysbyletterwithmynewaddress.Thankyouforyoursupport.Goodbyefornow.%u2019%u2019%0A%0AThat%20call%20was%20the%20last%20time%20she%20heard%20her%20son%u2019s%20voice.,159,7,129,3,90,12,0
5281959998_10151224747324999,2017-07-07T18:25:00+0000,Police%20and%20organizers%20blamed%20one%20another.%20The%20police%20said%20that%20masked%20protesters%20had%20disobeyed%20orders%20to%20uncover%20their%20faces%3B%20demonstrators%20said%20the%20police%20had%20provoked%20them.,198,8,53,11,20,42,0
5281959998_10151224362069999,2017-07-07T07:55:00+0000,President%20Donald%20J.%20Trump%20met%20with%20Angela%20Merkel%20in%20Hamburg%20where%20thousands%20of%20protesters%20gathered%20for%20a%20demonstration%20called%20%22Welcome%20to%20Hell.%22,424,2,5,19,4,24,0
5281959998_10151225141634999,2017-07-08T10:25:00+0000,%u201CPatients%20come%20and%20seem%20to%20be%20in%20need%20of%20help%2C%20and%20then%20they%20say%2C%20%u2018Sorry%2C%20I%u2019ve%20got%20to%20leave.%u2019%u201D,307,2,56,5,9,25,0
5281959998_1886279001589613,2017-07-07T15:40:00+0000,How%20Annie%20Duke%20beat%20her%20brother%20and%20became%20one%20of%20the%20best%20poker%20players%20in%20the%20world.%0AWatch%20more%20from%20%27The%20Art%20of%20Better%27%3A%20http%3A//nyti.ms/2iClmpj,176,0,0,12,1,6,0
5281959998_10151225234459999,2017-07-08T07:55:00+0000,%u201CWe%20believe%20a%20drone%20was%20used%20to%20fly%20in%20the%20tools%20that%20allowed%20him%20to%20escape%2C%u201D%20an%20official%20said.,144,19,0,5,4,39,0
5281959998_10151224550329999,2017-07-07T14:27:14+0000,The%20U.S.%20unemployment%20rate%20in%20June%20is%204.4%25.%20It%27s%20been%208%20years%20since%20the%20start%20of%20the%20Great%20Recession.%20How%20is%20the%20economy%20faring%20now%3F%20NYT%20reporter%20Patricia%20Cohen%20is%20here%20to%20discuss%20the%20latest%20jobs%20report%20and%20answer%20your%20questions%20from%20the%20comments.,370,8,1,35,4,5,0
