post_id,timestamp,text,LIKE,HAHA,SAD,LOVE,ANGRY,WOW,PRIDE
5281959998_10151209668804999,2017-06-21T20:55:00+0000,%22Top%20to%20bottom%2C%20Uber%20was%20a%20failure%20of%20Silicon%20Valley%u2019s%20start-up%20machine.%22,35,0,0,3,0,0,0
5281959998_10151209202109999,2017-06-21T11:07:00+0000,What%20we%27ve%20learned%20about%20the%20CIA%27s%20%22enhanced%20interrogation%22%20techniques%20from%20a%20lawsuit%20filed%20by%20former%20prisoners.,56,1,2,0,6,6,0
5281959998_10151209393419999,2017-06-21T17:55:00+0000,It%27s%20not%20unusual%20for%20law%20enforcement%20to%20offer%20a%20reward%20in%20high-profile%20cases.%20But%20figuring%20out%20who%20will%20get%20paid%2C%20and%20how%20much%2C%20can%20get%20complicated.,67,1,3,0,1,3,0
5281959998_10151209369359999,2017-06-21T19:55:00+0000,Canada%20is%20having%20a%20bit%20of%20a%20moment%20in%20New%20York.,65,0,0,8,0,0,0
5281959998_10151209376999999,2017-06-21T15:55:00+0000,%22Mr.%20Cosby%20didn%u2019t%20take%20the%20stand%20in%20his%20defense%2C%20which%20meant%20the%20case%2C%20in%20some%20sense%2C%20came%20down%20to%20Ms.%20Constand%u2019s%20recollection%20versus%20his%20legacy.%22,59,2,12,2,32,5,0
5281959998_10151207834289999,2017-06-20T10:58:00+0000,The%20battle%20to%20reclaim%20Mosul%20from%20ISIS%20has%20entered%20its%20final%20stage.%20%22God%20willing%2C%20Iraq%20will%20be%20their%20graveyard%2C%22%20said%20Major%20Sajjad%20al-Hour.,87,0,10,0,0,4,0
5281959998_10151209597114999,2017-06-21T18:25:00+0000,%22The%20deadly%20fire%20that%20devastated%20villages%20in%20central%20Portugal%20was%20still%20burning%20in%20some%20places.%20But%20more%20permanent%20scars%20were%20already%20beginning%20to%20show.%22,63,1,85,0,2,11,0
5281959998_10151208615074999,2017-06-21T06:55:00+0000,Using%20surveillance%20equipment%20that%20was%20used%20by%20the%20U.S.%20military%2C%20the%20Border%20Patrol%20is%20creating%20what%20some%20call%20a%20%u201Cvirtual%20wall.%u201D%0A%0AHere%2C%20an%20agent%20escorted%20a%20man%20who%20was%20apprehended%20near%20the%20Rio%20Grande.%20http%3A//nyti.ms/2rSobSN%0A%0APhoto%3A%20William%20Widmer%20for%20The%20New%20York%20Times,103,0,1,3,6,11,0
5281959998_10151209157589999,2017-06-21T09:40:00+0000,Update%3A%20The%20suspect%20was%20known%20to%20the%20police%20but%20was%20not%20wanted%20for%20any%20terrorism%20offenses%2C%20the%20Belgian%20authorities%20said.,82,3,6,2,18,17,0
5281959998_10151208369729999,2017-06-20T18:10:00+0000,%22God%20willing%2C%20Iraq%20will%20be%20their%20graveyard.%22%20An%20Iraqi%20commander%20showed%20our%20journalist%20the%20fight%20against%20ISIS%20in%20Mosul.%20Watch%20the%20video.,135,0,9,11,0,2,0
5281959998_10151207749289999,2017-06-20T09:55:00+0000,The%20Brexit%20negotiations%20come%20at%20a%20time%20when%20the%20government%20of%20Prime%20Minister%20Theresa%20May%20is%20hanging%20by%20a%20thread.,140,21,4,3,0,8,1
5281959998_10151209477899999,2017-06-21T16:25:00+0000,They%20were%20children%20from%20a%20fishing%20village%20when%20Boko%20Haram%20came%20and%20took%20them%20away.%20They%20learned%20to%20survive%2C%20but%20only%20by%20forgetting%20who%20they%20were.,91,0,52,3,1,2,0
5281959998_10151207747834999,2017-06-20T12:25:00+0000,The%20Border%20Patrol%20is%20creating%20what%20some%20call%20a%20%u201Cvirtual%20wall%22%20using%20surveillance%20equipment%20adapted%20from%20military%20use.,195,1,1,6,1,14,0
5281959998_10151208080164999,2017-06-20T13:04:00+0000,%22My%20husband%20and%20I%20called%20him%20the%20%27mad%20man%2C%27%22%20said%20a%20neighbor.,156,1,59,2,36,4,0
