post_id,timestamp,text,LIKE,HAHA,SAD,LOVE,ANGRY,WOW,PRIDE
5281959998_10151221415834999,2017-07-05T05:55:02+0000,%22It%20felt%20like%20Disneyland%20as%20usual%2C%20but%20Shanghai%20Disneyland%20broke%20from%20the%20template%20in%20crucial%20ways%2C%22%20Julie%20Lasky%20writes.,298,2,1,22,0,4,0
5281959998_10151221229559999,2017-07-04T08:24:44+0000,A%20kind%20of%20low-level%20guerrilla%20war%20takes%20place%20between%20black%20cabs%20and%20Uber%20on%20the%20streets%20of%20London%20every%20day.%20It%27s%20not%20just%20about%20the%20app.,312,2,5,7,5,19,0
5281959998_10151222036159999,2017-07-05T11:25:00+0000,Donald%20J.%20Trump%27s%20life%20and%20career%20have%20been%20defined%20by%20his%20legal%20battles.%20But%20do%20the%20attorneys%20who%20guided%20him%20through%20the%20courtrooms%20of%20New%20York%20and%20New%20Jersey%20know%20how%20to%20navigate%20Washington%3F,341,112,6,7,13,40,0
5281959998_10151222355374999,2017-07-05T19:55:00+0000,China%27s%20leader%20usually%20acts%20with%20precision%20and%20boldness.%20Yet%20on%20North%20Korea%20he%20is%20stuck.,142,1,5,9,3,9,0
5281959998_10151222003859999,2017-07-05T09:25:01+0000,The%20Editorial%20Board%20writes%20in%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22Donald%20J.%20Trump%20is%20learning%20he%20can%u2019t%20rely%20on%20China%20alone.%20Eventually%20the%20United%20States%20will%20have%20to%20negotiate%20directly.%22,112,14,5,5,3,12,0
5281959998_10151221343324999,2017-07-04T14:25:01+0000,%22The%20importance%20is%20to%20test%20the%20limits%20of%20freedom%20of%20speech%20in%20the%20West%2C%22%20said%20the%20organizer%20of%20a%20cartoon%20contest%20where%20the%20only%20goal%20was%20to%20make%20fun%20of%20President%20Donald%20J.%20Trump.,305,105,12,24,4,18,0
5281959998_10151217914209999,2017-07-04T13:55:01+0000,Get%20ready%20for%20those%20Fourth%20of%20July%20fireworks.,394,0,0,20,0,0,0
5281959998_10151222147044999,2017-07-05T14:05:01+0000,Donald%20J.%20Trump%20vented%20his%20displeasure%20with%20China%20in%20a%20pair%20of%20early-morning%20tweets%20as%20he%20was%20departing%20on%20a%20trip%20to%20Warsaw%2C%20and%20to%20Hamburg%2C%20for%20the%20G20.,219,47,14,7,153,13,0
5281959998_10151221594899999,2017-07-04T21:55:00+0000,A%20look%20at%20what%20it%20takes%20for%20nature%20to%20come%20back.,339,0,1,42,0,9,0
5281959998_10151221477909999,2017-07-05T07:25:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22Historically%2C%20political%20opponents%20in%20Indonesia%20used%20to%20be%20silenced%20with%20accusations%20of%20treason.%20More%20recently%2C%20as%20with%20Ahok%2C%20it%u2019s%20been%20with%20blasphemy%20laws.%20Now%2C%20anti-pornography%3F%22,81,6,2,4,2,4,0
